"","x"
"1",0.801241924510377
"2",0.726269351213007
"3",0.703954611207858
"4",0.702863253465751
"5",0.701255074326574
"6",0.694793524368777
"7",0.690204468914665
"8",0.679063648114621
"9",0.677393685073869
"10",0.676237666367788
"11",0.674851237264102
"12",0.671929808961548
"13",0.671024779042757
"14",0.6707905659433
"15",0.669213103598873
"16",0.669200209345378
"17",0.666603429703725
"18",0.666496293846428
"19",0.663798490944646
"20",0.663172454200287
"21",0.663045923028645
"22",0.662158967873896
"23",0.660770248498632
"24",0.660411038285797
"25",0.66017341710854
"26",0.659805158089429
"27",0.659368356371663
"28",0.656681989740589
"29",0.65502469752093
"30",0.654809249451092
"31",0.654367989501076
"32",0.654112030128784
"33",0.653379576424692
"34",0.651872966276752
"35",0.651443872933398
"36",0.649902438525475
"37",0.648982578140927
"38",0.648195133996244
"39",0.647830065547376
"40",0.647785987344953
"41",0.647721398316677
"42",0.647569346945228
"43",0.64712464257759
"44",0.645578188937955
"45",0.645422814063002
"46",0.644718006213121
"47",0.644561306813449
"48",0.644337563589051
"49",0.643633070552459
"50",0.643039033645893
"51",0.642861568877104
"52",0.642741041671818
"53",0.641001878154151
"54",0.640673368127174
"55",0.640098884118436
"56",0.640089557873899
"57",0.639040773351834
"58",0.638711674794238
"59",0.638589218427789
"60",0.638364276512488
"61",0.638242959645847
"62",0.63790734110277
"63",0.637491946241996
"64",0.635597754870668
"65",0.635247558730255
"66",0.633967915591227
"67",0.633546532116103
"68",0.633199540193208
"69",0.632258713398291
"70",0.632113827458574
"71",0.631769972461757
"72",0.631624187373411
"73",0.631259392911942
"74",0.630900905104525
"75",0.630729486104261
"76",0.630724298778844
"77",0.63043661903707
"78",0.630395404464568
"79",0.63030906900398
"80",0.629791453106472
"81",0.629059304628487
"82",0.628839258298757
"83",0.628643742989772
"84",0.628186884071132
"85",0.627519533777907
"86",0.627326138230729
"87",0.627143311588667
"88",0.626558956871188
"89",0.626535456666747
"90",0.626131069434582
"91",0.625917514142756
"92",0.624932701453794
"93",0.624029384219397
"94",0.624001164683892
"95",0.623688804586418
"96",0.623659688344408
"97",0.623420088660634
"98",0.623116112319056
"99",0.623099128045909
"100",0.622775107747875
"101",0.622762528975842
"102",0.622314821982683
"103",0.621902238178516
"104",0.621674834955963
"105",0.621517444913348
"106",0.62121125664633
"107",0.620993082124428
"108",0.620993082124428
"109",0.620582365243584
"110",0.620057911390953
"111",0.619866134569082
"112",0.619518171620335
"113",0.619413678830517
"114",0.618939905984845
"115",0.618825149433907
"116",0.618418770470769
"117",0.618403354304632
"118",0.618118430995713
"119",0.617601623682198
"120",0.617192802477342
"121",0.617161668627013
"122",0.61685411322802
"123",0.616741216456301
"124",0.616143555072833
"125",0.616075982623264
"126",0.616035073335658
"127",0.615997406048221
"128",0.615799588639499
"129",0.615636493470977
"130",0.615341637403989
"131",0.61527512669433
"132",0.614751717653729
"133",0.61444595516092
"134",0.61418682723178
"135",0.613762555647
"136",0.613672379137017
"137",0.612967811732008
"138",0.612019981920846
"139",0.611870777813864
"140",0.611838985711145
"141",0.611741373165694
"142",0.611212284542736
"143",0.611175617807966
"144",0.610759742396496
"145",0.610621949673688
"146",0.610363749704553
"147",0.610343623742263
"148",0.609769869395369
"149",0.609695400768098
"150",0.609592702711885
"151",0.609011162115785
"152",0.608900686383603
"153",0.608599669565541
"154",0.608490286884911
"155",0.607960993028391
"156",0.607669868884776
"157",0.60750825833726
"158",0.607448962769086
"159",0.607392347889878
"160",0.607098455683628
"161",0.606702532232371
"162",0.6062220995746
"163",0.605859225823993
"164",0.605380381704588
"165",0.604961688286476
"166",0.604654697258033
"167",0.604647319021383
"168",0.60462748981428
"169",0.604167613617869
"170",0.603972453815925
"171",0.603943608725973
"172",0.6034863319206
"173",0.603409901281197
"174",0.60319348815594
"175",0.603121114278248
"176",0.603078237816388
"177",0.602806976390844
"178",0.6027033908255
"179",0.602523660431609
"180",0.602500180113605
"181",0.602457142353079
"182",0.602147713305638
"183",0.601688225936658
"184",0.601378524240612
"185",0.601200191545135
"186",0.600959190768173
"187",0.600943915622449
"188",0.60086086164695
"189",0.600468980561675
"190",0.599859165948149
"191",0.599634994247518
"192",0.599143468707512
"193",0.599064730175701
