"","x"
"1",6781.35542534086
"2",137.326621449375
"3",-203.453248400958
"4",227.625203426462
"5",-194.406422969525
"6",297.993521856822
"7",-686.247481537929
"8",231.251529116025
"9",-331.545456438261
"10",407.80679558208
"11",-10.6062701325421
"12",97.621195113153
"13",-235.34916830264
"14",0.334880098894802
"15",-108.634956943173
"16",111.865347411649
"17",-12.2914305393684
"18",122.373483430323
"19",-127.181100031647
"20",14.1924763234323
"21",22.7537010413101
"22",76.4998331821441
"23",-25.3040885273949
"24",108.639240963395
"25",-236.835798391942
"26",77.4675425412651
"27",-51.0801677803117
"28",19.9063318624769
"29",-57.9763905191454
"30",78.3737060326407
"31",-93.2698511123928
"32",92.0952596433394
"33",-135.220776704027
"34",71.0083736976576
"35",-41.5530152975221
"36",57.400176106382
"37",-62.3089548764626
"38",10.9960653970847
"39",101.783166890744
"40",-37.2874420060787
"41",-57.5380871807167
"42",-34.2876758031332
"43",-47.937026117969
"44",113.916581553772
"45",-23.3264260262746
"46",62.5962170463701
"47",-66.0457800920227
"48",132.67554934123
"49",-1.41486301267136
"50",119.963695725954
"51",-60.5096857875914
"52",71.6602250354183
"53",-4.69724827050301
"54",73.1418266037476
"55",-27.8195155943164
"56",52.859053420045
"57",-74.8427476795991
"58",11.2912639625745
"59",-31.281590044351
"60",-3.41829208791788
"61",46.6269947223243
"62",-46.9762599637743
"63",-20.188346222757
"64",75.4772695188636
"65",-45.2029653609302
"66",22.3792561638289
"67",9.9706807217427
"68",24.1677982666431
"69",-73.0642598438048
"70",42.6391790791922
"71",9.32638832083076
"72",-45.0013416218694
"73",-16.5638754417882
"74",-35.2794829415389
"75",53.0455076224978
"76",36.3570107063567
"77",-1.11332786394187
"78",-29.8617214816549
"79",-19.0513128428259
"80",-6.42228562445142
"81",31.9955430839832
"82",36.7389366820201
"83",-0.0546703841478916
"84",-38.2316526173912
"85",-46.8199571326883
"86",84.6290024316155
"87",-10.289138940795
"88",25.3482899124868
"89",-19.9955198915463
"90",3.46998384450027
"91",-47.5327168033019
"92",33.7510195414112
"93",-10.3255566587092
"94",11.3282800990584
"95",-22.3977523246849
"96",9.23560337575692
