"","word","h","h_dec"
"190","única",0.865337086670109,7
"191","dificultad",0.897676130407043,10
"192","encuentro",0.883841471389427,9
"193","paisano",0.880643385181506,8
"194","españa",0.875907014303259,8
"195","labio",0.877986334872456,8
"196","aludir",0.906142807944016,10
"197","posición",0.894560487268869,10
"198","tener",0.904212929883361,10
"199","classeuropa",0.848529209468666,6
"200","suponer",0.886417944996437,9
"201","derivación",0.853872766603752,6
"202","nombres",0.900099194359931,10
"203","rey",0.827779665979675,5
"204","legendario",0.891105993934263,9
"205","hijo",0.831726772870646,5
"206","hispano",0.892760669659093,10
"207","nieta",0.869115185876051,8
"208","respectivamen",0.917158447865764,10
"209","hércules",0.85480686103267,7
"210","comunismo",0.855199408277877,7
"211","paradigma",0.892686025125363,9
"212","caracterizado",0.907731668140589,10
"213","control",0.89826450322966,10
"214","planificar",0.899976787762361,10
"215","vida",0.864793802332914,7
"216","comunitario",0.860678190271384,7
"217","abolición",0.861962986434756,7
"218","propiedad",0.891546508127588,9
"219","privada",0.890302373842273,9
"220","trabajo",0.856873049749902,7
"221","socializaci",0.858752249353804,7
"222","existencia",0.903205893125491,10
"223","clase",0.848589915148741,6
"224","sociales",0.83708140495906,5
"225","base",0.902505368128107,10
"226","colectivizar",0.848040114560903,6
"227","fundar",0.894173585824937,10
"228","pensador",0.848418309821118,6
"229","socialista",0.796631853722508,3
"230","alemán",0.844151312093969,6
"231","karl_marx",0.81982176288267,4
"232","interpretación",0.887341484858284,9
"233","revolucionari",0.891479556740527,9
"234","permanente",0.903578044493234,10
"235","conflicto",0.878161121252413,8
"236","excedente",0.870833248326821,8
"237","material",0.883298452594475,9
"238","inicio",0.90841229685005,10
"239","debe",0.857591133231267,7
"240","aparición",0.903346483669303,10
"241","poner",0.877219283798198,8
"242","fin",0.885273177813043,9
"243","primitivo",0.876340663939135,8
"244","separar",0.90091240185908,10
"245","sociedad",0.844358965708479,6
"246","acuerdo",0.848880810614867,6
"247","adquisición",0.874570914031496,8
"248","recurso",0.884655151395908,9
"249","marxismo",0.821395736617887,4
"250","relación",0.854274837837146,6
"251","vincular",0.909055300411302,10
"252","hombre",0.841804932365536,6
"253","capitalista",0.847124355460854,6
"254","implicar",0.906347718490244,10
"255","explotación",0.884696749472754,9
"256","mediante",0.904584124834706,10
"257","apropiación",0.871726881605806,8
"258","plusvalía",0.805244355929076,4
"259","generar",0.86681543886629,7
"260","condición",0.896002861944944,10
"261","reemplazar",0.909431006776813,10
"262","superior",0.905109630463957,10
"263","secuencia",0.880616017445802,8
"264","nuevas",0.886593796634696,9
"265","fuerza",0.868698648411309,8
"266","productivo",0.876155892711433,8
"267","capitalismo",0.849071364144344,6
"268","anterior",0.896354466123527,10
"269","interesar",0.895984889777393,10
"270","contrapuesto",0.877277761059042,8
"271","entrar",0.859269789313793,7
"272","constante",0.903816974011973,10
"273","lucha",0.890369331362933,9
"274","precisamente",0.908280698928237,10
"275","cíclico",0.87602075767204,8
"276","estancamiento",0.869397057377024,8
"277","intensificar",0.908722616036734,10
"278","camino",0.887538218816687,9
"279","bifurcar",0.82912659852689,5
"280","derrota",0.865122103502961,7
"281","obrero",0.880418886861586,8
"282","proletariado",0.796888692539055,3
"283","triunfo",0.883019993455633,9
"284","modificación",0.888906022793794,9
"285","regimen",0.87637439869735,8
"286","creación",0.900474752385995,10
"287","poderes",0.875696310959056,8
"288","dual",0.820245776892076,4
"289","incluso",0.869516622659798,8
"290","revolución",0.885328749243667,9
"291","organizar",0.892797055711127,10
"292","partido",0.845520408661046,6
"293","comunista",0.870992414744588,8
"294","conquistar",0.887846983421856,9
"295","hegemonía",0.8769106419555,8
"296","dictadura",0.857932578168958,7
"297","burócrata",0.868662639571955,8
"298","encerrar",0.893254148529185,10
"299","solo",0.889351129700282,9
"300","país",0.873847500840264,8
"301","utopía",0.874579345064137,8
"302","reaccionario",0.854649654401165,6
"303","dada",0.912768211710275,10
"304","interdependencia",0.811734646710929,4
"305","nación",0.873838305547179,8
"306","internacional",0.873517953920636,8
"307","enfrentamientos",0.888830284489854,9
"308","importante",0.862836593007924,7
"309","terminar",0.880775352265071,9
"310","partido_comunista_de_china",0.641970404144546,1
"311","continental",0.873651183384973,8
"312","kuomintang",0.467996210199082,1
"313","retirar",0.906636048061562,10
"314","isla",0.822636678626678,5
"315","taiwan",0.785810384571467,3
"316","reducir",0.888121091323886,9
"317","república_de_china",0.397454825707467,1
"318","circundar",0.865945880814666,7
"319","mao_zedong",0.683396745898795,1
"320","presidenta",0.859243611391693,7
"321","partido_comunista",0.855240798330786,7
"322","proclamar",0.898114254029786,10
"323","república_popular_china",0.61548553336465,1
"324","octubre",0.888712349995168,9
"325","invadir",0.896908514063529,10
"326","tíbet",0.832382044543421,5
"327","débil",0.901194565680832,10
"328","ejército",0.856444061455974,7
"329","tibetano",0.843951285376849,6
"330","declarado",0.908349120607868,10
"331","independiente",0.903614897607777,10
"332","durante",0.884526981021515,9
"333","año",0.902298940680577,10
"334","nacionalista",0.853492191233652,6
"335","continuar",0.908403796990571,10
"336","insurgir",0.822757349030004,5
"337","oeste",0.875541090730556,8
"338","chino",0.787083590211969,3
"339","fomentar",0.889607080656778,9
"340","crecimiento",0.838112478781854,5
"341","demográfico",0.864073199647414,7
"342","población",0.855143964103494,7
"343","duplicar",0.886201591558648,9
"344","pasar",0.868918112393396,8
"345","millón",0.842963308674934,6
"346","liderazgo",0.884358390021933,9
"347","extender",0.910350219645275,10
"348","plan",0.870047437378741,8
"349","económico",0.851354672085349,6
"350","social",0.859716300816291,7
"351","gran",0.87350181883722,8
"352","escala",0.905105112478217,10
"353","conocido",0.891168098926797,9
"354","producir",0.861580573834089,7
"355","hambruna",0.839214914066833,5
"356","cobrar",0.885345022313583,9
"357","persona",0.875763674638291,8
"358","época",0.888266381366287,9
"359","líder",0.8425718744637,6
"360","campesino",0.878074630794961,8
"361","ejecutar",0.907435196460483,10
"362","acusado",0.858505430582752,7
"363","mao",0.808778024054791,4
"364","aliado",0.880718660095961,8
"365","lanzar",0.903057391947406,10
"366","revolución_cultural",0.627014151799438,1
"367","trajo",0.900998834446209,10
"368","consigo",0.895090958013314,10
"369","política",0.851722405906396,6
"370","perdurar",0.889606640046576,9
"371","muerte",0.850394352657057,6
"372","motivar",0.901940234500875,10
"373","dentro",0.864972546265187,7
"374","temor",0.902289276877024,10
"375","unión_soviética",0.836366605602116,5
"376","conducir",0.898092702022975,10
"377","agitación",0.893153288720706,10
"378","naciones_unidas",0.874490565754852,8
"379","ocupar",0.898640347763352,10
"380","lugar",0.865652072342012,7
"381","miembro",0.872224903389102,8
"382","consejo_de_seguridad",0.813745575004289,4
"383","siguiente",0.894773537817575,10
"384","cima",0.873960827393509,8
"385","división",0.902275563025591,10
"386","soviético",0.8544868677291,6
"387","reunir",0.900746797234127,10
"388","richard_nixon",0.812161650427777,4
"389","establecer",0.894332303452177,10
"390","primer",0.893494514782341,10
"391","diplomático",0.858955854612316,7
"392","estados_unidos",0.866598787874946,7
"393","antigüedad",0.891282053668749,9
"394","grande",0.865118396961105,7
"395","imperio",0.874885980424972,8
"396","potencia",0.891311596519815,9
"397","militares",0.85625351295356,7
"398","grado",0.870579204396678,8
"399","especializar",0.900404603090516,10
"400","complejidad",0.892638700674385,9
"401","planeta",0.859102258110897,7
"402","edad_media",0.857858622186301,7
"403","economía",0.83769840917487,5
"404","europea",0.872610736461732,8
"405","región",0.881417514305427,9
"406","asia",0.86230527940822,7
"407","continente",0.864920702861526,7
"408","oriente_medio",0.871361947804102,8
"409","india",0.881287683144835,9
"410","concentr",0.907942175449082,10
"411","mundial",0.850022183070767,6
"412","xviii",0.779070782466284,3
"413","textil",0.870054963786962,8
"414","exportar",0.887760438765127,9
"415","extensivo",0.876415741354251,8
"416","francia",0.843072970068804,6
"417","inglaterra",0.878142972678782,8
"418","cantidad",0.883076677508607,9
"419","producto",0.821762161240736,4
"420","industrial",0.887760248880458,9
"421","presente",0.903274426830577,10
"422","américa",0.881413454524396,9
"423","colonial",0.864943236086337,7
"424","xvii",0.777265777532773,3
"425","estima",0.896083488538226,10
"426","plata",0.878868796194936,8
"427","extraído",0.900705784069472,10
"428","españolar",0.888120925372828,9
"429","acabar",0.866695522275807,7
"430","compra",0.871973379299123,8
"431","manufacturar",0.859888061799507,7
"432","alterar",0.904877858979227,10
"433","equilibrio",0.901880426742629,10
"434","conquista",0.88949856114753,9
"435","militar",0.859878781926745,7
"436","áfrica",0.864974558230916,7
"437","controlar",0.902032457407601,10
"438","segunda",0.883609725410993,9
"439","tercer",0.891247947768418,9
"440","oleada",0.901016475677055,10
"441","xx",0.768512094771369,2
"442","mayor",0.871553461232564,8
"443","renta",0.846191119138505,6
"444","superar",0.900456222966343,10
"445","europeo",0.870509688879489,8
"446","seguido",0.911916291763049,10
"447","polo",0.899933131432687,10
"448","xxi",0.814329739747707,4
"449","niveles",0.889345684002922,9
"450","igualado",0.877325762767502,8
"451","canadá",0.878752658714623,8
"452","austral",0.893281485234167,10
"453","japón",0.884312736943038,9
"454","corea_del_sur",0.878461774337943,8
